,0
DifficultyWalkingWithoutAssistance_Level,0.9979893986474137
DifficultyWalkingComparedToPeers_Level,0.7473039663681228
ChildDisabilityIndicator,0.7453847559861085
FrequencyOfSadness_Level,0.7452933650155364
DifficultyRememberingComparedToPeers_Level,0.7452933650155364
DifficultySeeing_Level,0.7452933650155364
FrequencyOfAnxiety_Level,0.7452933650155364
DifficultyControllingBehavior_Level,0.7452933650155364
DifficultyAcceptingRoutineChanges_Level,0.7452933650155364
DifficultyConcentratingOnEnjoyableActivities_Level,0.7452933650155364
